SalePrice,LotFrontage,LandSlope,HouseStyle,OverallQual,OverallCond,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,TotRmsAbvGrd,GarageCars,GarageArea,GarageCond,PavedDrive,OpenPorchSF,MoSold,YrSold,SaleType
208500,65,Gtl,2Story,7,5,PConc,Gd,856,Ex,Y,856,854,0,1710,1,8,2,548,TA,Y,61,2,2008,WD
181500,80,Gtl,1Story,6,8,CBlock,Gd,1262,Ex,Y,1262,0,0,1262,0,6,2,460,TA,Y,0,5,2007,WD
223500,68,Gtl,2Story,7,5,PConc,Gd,920,Ex,Y,920,866,0,1786,1,6,2,608,TA,Y,42,9,2008,WD
140000,60,Gtl,2Story,7,5,BrkTil,TA,756,Gd,Y,961,756,0,1717,1,7,3,642,TA,Y,35,2,2006,WD
250000,84,Gtl,2Story,8,5,PConc,Gd,1145,Ex,Y,1145,1053,0,2198,1,9,3,836,TA,Y,84,12,2008,WD
143000,85,Gtl,1.5Fin,5,5,Wood,Gd,796,Ex,Y,796,566,0,1362,1,5,2,480,TA,Y,30,10,2009,WD
307000,75,Gtl,1Story,8,5,PConc,Ex,1686,Ex,Y,1694,0,0,1694,1,7,2,636,TA,Y,57,8,2007,WD
200000,NA,Gtl,2Story,7,6,CBlock,Gd,1107,Ex,Y,1107,983,0,2090,1,7,2,484,TA,Y,204,11,2009,WD
129900,51,Gtl,1.5Fin,7,5,BrkTil,TA,952,Gd,Y,1022,752,0,1774,0,8,2,468,TA,Y,0,4,2008,WD
118000,50,Gtl,1.5Unf,5,6,BrkTil,TA,991,Ex,Y,1077,0,0,1077,1,5,1,205,TA,Y,4,1,2008,WD
129500,70,Gtl,1Story,5,5,CBlock,TA,1040,Ex,Y,1040,0,0,1040,1,5,1,384,TA,Y,0,2,2008,WD
345000,85,Gtl,2Story,9,5,PConc,Ex,1175,Ex,Y,1182,1142,0,2324,1,11,3,736,TA,Y,21,7,2006,New
144000,NA,Gtl,1Story,5,6,CBlock,TA,912,TA,Y,912,0,0,912,1,4,1,352,TA,Y,0,9,2008,WD
279500,91,Gtl,1Story,7,5,PConc,Gd,1494,Ex,Y,1494,0,0,1494,0,7,3,840,TA,Y,33,8,2007,New
157000,NA,Gtl,1Story,6,5,CBlock,TA,1253,TA,Y,1253,0,0,1253,1,5,1,352,TA,Y,213,5,2008,WD
132000,51,Gtl,1.5Unf,7,8,BrkTil,TA,832,Ex,Y,854,0,0,854,0,5,2,576,TA,Y,112,7,2007,WD
149000,NA,Gtl,1Story,6,7,CBlock,TA,1004,Ex,Y,1004,0,0,1004,1,5,2,480,TA,Y,0,3,2010,WD
90000,72,Gtl,1Story,4,5,Slab,NA,0,TA,Y,1296,0,0,1296,0,6,2,516,TA,Y,0,10,2006,WD
159000,66,Gtl,1Story,5,5,PConc,TA,1114,Ex,Y,1114,0,0,1114,1,6,2,576,TA,Y,102,6,2008,WD
139000,70,Gtl,1Story,5,6,CBlock,TA,1029,TA,Y,1339,0,0,1339,0,6,1,294,TA,Y,0,5,2009,COD
325300,101,Gtl,2Story,8,5,PConc,Ex,1158,Ex,Y,1158,1218,0,2376,0,9,3,853,TA,Y,154,11,2006,New
139400,57,Gtl,1.5Unf,7,7,PConc,TA,637,Ex,Y,1108,0,0,1108,0,6,1,280,TA,N,0,6,2007,WD
230000,75,Gtl,1Story,8,5,PConc,Gd,1777,Ex,Y,1795,0,0,1795,0,7,2,534,TA,Y,159,9,2008,WD
129900,44,Gtl,1Story,5,7,PConc,Gd,1040,TA,Y,1060,0,0,1060,1,6,2,572,TA,Y,110,6,2007,WD
154000,NA,Gtl,1Story,5,8,CBlock,TA,1060,Ex,Y,1060,0,0,1060,1,6,1,270,TA,Y,90,5,2010,WD
256300,110,Gtl,1Story,8,5,PConc,Gd,1566,Ex,Y,1600,0,0,1600,0,7,3,890,TA,Y,56,7,2009,WD
134800,60,Gtl,1Story,5,7,CBlock,TA,900,TA,Y,900,0,0,900,0,5,2,576,TA,Y,32,5,2010,WD
306000,98,Gtl,1Story,8,5,PConc,Ex,1704,Ex,Y,1704,0,0,1704,1,7,3,772,TA,Y,50,5,2010,WD
207500,47,Gtl,1Story,5,6,CBlock,TA,1484,TA,Y,1600,0,0,1600,1,6,1,319,TA,Y,258,12,2006,WD
68500,60,Gtl,1Story,4,6,BrkTil,TA,520,Fa,N,520,0,0,520,0,4,1,240,TA,Y,0,5,2008,WD
40000,50,Gtl,2Story,4,4,BrkTil,TA,649,TA,N,649,668,0,1317,0,6,1,250,Fa,N,54,7,2008,WD
149350,NA,Gtl,1Story,5,6,CBlock,TA,1228,Gd,Y,1228,0,0,1228,0,6,1,271,TA,Y,65,6,2008,WD
179900,85,Gtl,1Story,8,5,PConc,Ex,1234,Ex,Y,1234,0,0,1234,0,7,2,484,TA,Y,30,1,2008,WD
165500,70,Gtl,1Story,5,5,CBlock,TA,1398,Gd,Y,1700,0,0,1700,0,6,2,447,TA,Y,38,4,2010,WD
277500,60,Gtl,1Story,9,5,PConc,Ex,1561,Ex,Y,1561,0,0,1561,1,6,2,556,TA,Y,47,8,2007,WD
